ifs,id,PPPGDP,PPPPC,region,income,landlocked,resource rich,ss,Latitude,Longtitude,
184,Spain,1618.357967,34861.0761,Europe & Central Asia,1,2,2,2,40.463667,-3.74922,
524,SriLanka,223.5319393,10590.23074,South Asia,2,2,2,2,7.873054,80.771797,
1141,StateofPalestine,1,1,Middle East & North Africa,,,,1,31.9522,35.2332,
732,Sudan,168.8677917,4393.565357,Sub-Saharan Africa,3,2,1,2,12.862807,30.217636,
366,Suriname,9.068728958,16253.42581,Latin America & Caribbean,2,2,1,1,3.919305,-56.027783,
734,Swaziland,10.86711245,9712.131021,Sub-Saharan Africa,2,1,2,1,-26.522503,31.465866,
144,Sweden,474.8058645,48198.66461,Europe & Central Asia,1,2,2,2,60.128161,18.643501,
146,Switzerland,483.1356705,58647.20448,Europe & Central Asia,1,1,2,2,46.818188,8.227512,
463,SyrianArabRepublic,1,1,Middle East & North Africa,2,2,1,2,34.802075,38.996815,
962,TFYRofMacedonia,29.09629436,14047.50804,Europe & Central Asia,2,1,2,2,41.608635,21.745275,
923,Tajikistan,24.03336767,2835.236041,Europe & Central Asia,3,1,2,2,38.861034,71.276093,
578,Thailand,1110.363876,16130.08552,East Asia & Pacific,2,2,2,2,15.870032,100.992541,
537,TimorLeste,5.503275582,4714.768302,East Asia & Pacific,3,2,1,1,-8.874217,125.727539,
742,Togo,10.8813779,1488.649294,Sub-Saharan Africa,3,2,1,2,8.619543,0.824782,
1142,Tokelau,1,1,East Asia & Pacific,,,,1,-8.967363,-171.855881,
866,Tonga,0.535489704,5136.2021,East Asia & Pacific,3,2,2,1,-21.178986,-175.198242,
369,TrinidadandTobago,44.22124354,32573.07676,Latin America & Caribbean,2,2,1,1,10.691803,-61.222503,
744,Tunisia,127.2262795,11451.42157,Middle East & North Africa,2,2,2,2,33.886917,9.537499,
186,Turkey,1595.885961,20420.28306,Europe & Central Asia,2,2,2,2,38.963745,35.243322,
925,Turkmenistan,88.78039734,16477.97805,Europe & Central Asia,2,1,1,2,38.969719,59.556278,
1143,TurksandCaicos,1,1,Latin America & Caribbean,,,,1,21.694025,-71.797928,
869,Tuvalu,0.036845378,3399.949481,East Asia & Pacific,3,2,2,2,-7.109535,177.64933,
746,Uganda,79.87648979,2002.426928,Sub-Saharan Africa,3,1,1,2,1.373333,32.290275,
926,Ukraine,340.1717984,7986.959618,Europe & Central Asia,2,2,2,2,48.379433,31.16558,
466,UnitedArabEmirates,643.9900578,67216.86534,Middle East & North Africa,2,2,1,2,23.424076,53.847818,
112,UnitedKingdom,2701.975374,41498.62347,Europe & Central Asia,1,2,2,2,55.378051,-3.435973,
738,TanzaniaUnitedRepublic,138.7318555,2909.709764,Sub-Saharan Africa,3,2,1,2,-6.369028,34.888822,
111,UnitedStates,18036.65,56083.96537,North America,1,2,2,2,37.09024,-95.712891,
298,Uruguay,72.89907307,21341.31522,Latin America & Caribbean,2,2,2,2,-32.522779,-55.765835,
927,Uzbekistan,188.3291833,6080.786171,Europe & Central Asia,3,1,1,2,41.377491,64.585262,
846,Vanuatu,0.686210241,2554.793398,East Asia & Pacific,3,2,2,1,-15.376706,166.959158,
299,Venezuela,513.9370674,16784.13738,Latin America & Caribbean,2,2,1,2,6.42375,-66.58973,
582,VietNam,553.4214124,6036.603206,East Asia & Pacific,3,2,1,2,14.058324,108.277199,
1144,WallisandFutuna,1,1,East Asia & Pacific,,,,1,-13.768752,-177.156097,
1145,WesternSahara,1,1,Middle East & North Africa,,,,,24.215527,-12.885834,
474,Yemen,75.68832436,2676.043392,Middle East & North Africa,3,2,1,2,15.552727,48.516388,
754,Zambia,62.45095617,3852.143855,Sub-Saharan Africa,3,1,1,2,-13.133897,27.849332,
698,Zimbabwe,28.0392307,1983.681686,Sub-Saharan Africa,3,1,2,2,-19.015438,29.154857,
